Histórico de cotações - BBAS3;
Date;value
30/09/2021;29,14
29/09/2021;29,46
28/09/2021;29,57
27/09/2021;29,82
24/09/2021;29,3
23/09/2021;29,56
22/09/2021;29,41
21/09/2021;28,53
20/09/2021;28,06
17/09/2021;29,13
16/09/2021;29,19
15/09/2021;29,07
14/09/2021;29,37
13/09/2021;29,7
10/09/2021;29,43
09/09/2021;28,57
08/09/2021;28,72
06/09/2021;29,41
03/09/2021;29,04
02/09/2021;29,6
01/09/2021;30,58
31/08/2021;30,52
31/08/2021;30,52
30/08/2021;30,33
27/08/2021;30,37
26/08/2021;30,25
25/08/2021;30,32
24/08/2021;30,53
23/08/2021;29,88
20/08/2021;29,61
19/08/2021;29,66
18/08/2021;29,69
17/08/2021;29,27
16/08/2021;29,58
13/08/2021;29,39
12/08/2021;29,93
11/08/2021;30,58
10/08/2021;31,03
09/08/2021;31,79
06/08/2021;31,58
05/08/2021;31,56
04/08/2021;31,42
03/08/2021;31,83
02/08/2021;32,44
30/07/2021;31,78
29/07/2021;32,42
28/07/2021;32,7
27/07/2021;32,32
26/07/2021;32,17
23/07/2021;31,84
22/07/2021;32,09
21/07/2021;32,4
20/07/2021;31,89
19/07/2021;31,51
16/07/2021;32,05
15/07/2021;32,27
14/07/2021;32,8
13/07/2021;32,37
12/07/2021;32,39
08/07/2021;31,5
07/07/2021;31,66
06/07/2021;31,52
05/07/2021;31,97
02/07/2021;32,15
01/07/2021;31,91
30/06/2021;32,2
29/06/2021;32,44
28/06/2021;32,6
25/06/2021;33,23
24/06/2021;33,99
23/06/2021;34,02
22/06/2021;33,88
21/06/2021;34,65
18/06/2021;34,7
17/06/2021;35,44
16/06/2021;35,75
15/06/2021;35,4
14/06/2021;35,62
11/06/2021;35,3
10/06/2021;35,76
09/06/2021;35,88
08/06/2021;36,27
07/06/2021;36,34
04/06/2021;35,53
02/06/2021;34,92
01/06/2021;33,88
31/05/2021;33,52
28/05/2021;33,43
28/05/2021;33,43
27/05/2021;33,21
26/05/2021;32,71
25/05/2021;32,61
24/05/2021;32,88
21/05/2021;33,02
20/05/2021;32,76
19/05/2021;32,46
18/05/2021;32,14
17/05/2021;31,54
14/05/2021;31,26
13/05/2021;31,02
12/05/2021;30,48
11/05/2021;30,31
10/05/2021;30,3
07/05/2021;30,12
06/05/2021;29,13
05/05/2021;29,1
04/05/2021;29,43
03/05/2021;29,8
30/04/2021;29,62
29/04/2021;29,78
28/04/2021;30,2
27/04/2021;29,87
26/04/2021;30,2
23/04/2021;30,1
22/04/2021;29,87
20/04/2021;30,16
19/04/2021;29,75
16/04/2021;29,68
15/04/2021;29,68
14/04/2021;29,64
13/04/2021;29,42
12/04/2021;29,4
09/04/2021;29,36
08/04/2021;29,16
07/04/2021;29,51
06/04/2021;29,63
05/04/2021;29,95
01/04/2021;30,1
31/03/2021;30,47
30/03/2021;30,35
29/03/2021;29,73
26/03/2021;29,62
25/03/2021;29,53
24/03/2021;29,68
23/03/2021;30,2
22/03/2021;30,61
19/03/2021;30,5
18/03/2021;30,87
17/03/2021;30,46
16/03/2021;29,63
15/03/2021;29,9
12/03/2021;29,89
11/03/2021;30,02
10/03/2021;29,24
09/03/2021;29,33
08/03/2021;29,78
05/03/2021;30,53
04/03/2021;29,99
03/03/2021;28,72
03/03/2021;28,72
02/03/2021;28,4
01/03/2021;28,28
26/02/2021;28,46
25/02/2021;30,23
24/02/2021;30,39
23/02/2021;30,23
22/02/2021;29,05
19/02/2021;32,81
18/02/2021;33,29
17/02/2021;33,55
12/02/2021;33,8
11/02/2021;34,03
10/02/2021;33,97
09/02/2021;34,1
08/02/2021;33,93
05/02/2021;34,02
04/02/2021;34,31
03/02/2021;34,44
02/02/2021;34,3
01/02/2021;34,19
29/01/2021;34,04
28/01/2021;34,48
27/01/2021;33,31
26/01/2021;33,23
22/01/2021;33,51
21/01/2021;34,12
20/01/2021;34,73
19/01/2021;35,4
18/01/2021;36,32
15/01/2021;36,76
14/01/2021;37,52
13/01/2021;38,12
12/01/2021;39,36
11/01/2021;39,26
08/01/2021;39,78
07/01/2021;39,12
06/01/2021;38,14
05/01/2021;37,05
04/01/2021;38
30/12/2020;38,92
29/12/2020;39,18
28/12/2020;39,34
